2.3188	1.85957
2.3396	1.85958
2.35295	1.85961
2.30545	1.85954
2.34351	1.85963
2.31813	1.85955
2.3408	1.85958
2.30769	1.85962
2.33476	1.85959
2.33719	1.85963
2.3139	1.8596
2.33348	1.85951
2.34801	1.85962
2.33801	1.8596
2.32623	1.85959
2.32835	1.85959
2.32589	1.85957
2.35349	1.8595
2.34084	1.85959
2.36476	1.85961
2.33986	1.85961
2.32944	1.85961
2.35223	1.85962
2.3442	1.85957
2.32892	1.8596
2.33842	1.85959
2.35326	1.85961
2.32791	1.85954
2.34082	1.8596
2.3517	1.85958
2.33972	1.85963
2.35887	1.85958
2.32158	1.85955
2.34626	1.85955
2.34106	1.85961
2.32138	1.85961
2.33618	1.85955
2.33926	1.8595
2.31981	1.85953
2.32607	1.85958
2.35309	1.85955
2.35679	1.85949
2.32651	1.85958
2.33575	1.85947
2.33478	1.85959
2.32591	1.85959
2.32835	1.85961
2.33511	1.85962
2.31703	1.85954
2.31153	1.8596
2.31444	1.85958
2.3144	1.85961
2.32168	1.85962
2.34764	1.85959
2.34076	1.85962
2.35484	1.85959
2.32843	1.85959
2.33707	1.85958
2.3163	1.85956
2.32019	1.85954
2.32365	1.85959
2.32146	1.85962
2.30442	1.85962
2.33307	1.85961
2.34989	1.85959
2.31692	1.85962
2.34797	1.8596
2.33774	1.85962
2.30862	1.8596
2.34185	1.85961
2.32649	1.85957
2.33459	1.85958
2.31779	1.85961
2.30898	1.85959
2.31569	1.8596
2.35308	1.85962
2.32711	1.85962
2.33568	1.85959
2.34032	1.85961
2.33521	1.85956
2.32524	1.8596
2.32249	1.85962
2.32709	1.85958
2.34487	1.85962
2.33377	1.85958
2.32405	1.85959
2.35158	1.85961
2.34872	1.85957
2.3417	1.85959
2.31451	1.85957
2.35231	1.85962
2.34784	1.85954
2.32964	1.85959
2.32505	1.85959
2.34182	1.85959
2.32958	1.85958
2.32837	1.85959
2.31663	1.85958
2.3175	1.85959
2.32012	1.8596
