iter	locus	ct0	ct1	ct2
0	0	0.001622288869	0.01353672402	0.04085658282
0	1	0.002081982906	0.005746636249	0.1667583737
0	2	0.001676261432	0.008824399939	0.02852167721
0	3	0.004310730521	0.005854415222	0.05258641785
0	4	0.004749378417	0.06929356103	0.3073444949
0	5	0.006114395255	0.01306020022	0.0243034043
0	6	0.006958461115	0.0120237635	0.02919222897
0	7	0.001391238358	0.01128844277	0.02389623759
0	8	0.001432687112	0.004323601547	0.006763574336
0	9	0.002938317176	0.01683658469	0.02467102337
1	0	0.002152980213	0.01353672402	0.03020849437
1	1	0.002081982906	0.01623219689	0.1196097542
1	2	0.00386487037	0.006900161876	0.02852167721
1	3	0.004099952387	0.004310730521	0.03896409997
1	4	0.001298202203	0.005551427671	0.2687787049
1	5	0.01306020022	0.0146681621	0.02931607548
1	6	0.00598790269	0.007542457307	0.02241197449
1	7	0.001391238358	0.004821511449	0.04273118325
1	8	0.001432687112	0.004240974926	0.02075959687
1	9	0.002938317176	0.01446818892	0.04818970884
2	0	0.001113663607	0.002152980213	0.03405145603
2	1	0.00175460019	0.004610278284	0.09156428467
2	2	0.00386487037	0.02017563997	0.02700969397
2	3	0.005325026816	0.01380305935	0.04236665776
2	4	0.0005098138081	0.001298202203	0.2299877181
2	5	0.007138430796	0.01306020022	0.02931607548
2	6	0.002833291723	0.00598790269	0.02241197449
2	7	0.001391238358	0.004122206541	0.03136494273
2	8	0.005168286469	0.01426324737	0.01519960322
2	9	0.002938317176	0.02516693506	0.03885939082
3	0	0.01429933969	0.02511140161	0.049026985
3	1	0.00175460019	0.003369412684	0.02250305344
3	2	0.00386487037	0.01373476296	0.02204262183
3	3	0.002521920742	0.007184075316	0.04236665776
3	4	0.001298202203	0.004305110871	0.1736643162
3	5	0.007138430796	0.02452087133	0.03161537466
3	6	0.001139411753	0.002019457932	0.02075652222
3	7	0.002960086046	0.007615358817	0.03136494273
3	8	0.005168286469	0.007843507834	0.00959407625
3	9	0.002938317176	0.01053507599	0.02371638992
4	0	0.01429933969	0.03028125061	0.03953222895
4	1	0.005294310281	0.005709297255	0.03141898871
4	2	0.00386487037	0.01373476296	0.04495795442
4	3	0.007184075316	0.01477025704	0.03567595732
4	4	0.004305110871	0.01674042272	0.1457042667
4	5	0.01675289498	0.01747671521	0.03161537466
4	6	0.001139411753	0.005066336235	0.02626954878
4	7	0.002960086046	0.005921439164	0.0436582786
4	8	0.001923057067	0.008840885136	0.01323847795
4	9	0.002938317176	0.009999983809	0.02692432845
5	0	0.003323843719	0.01581815763	0.0259694793
5	1	0.005294310281	0.009327451628	0.03705486754
5	2	0.0001965584246	0.02860430643	0.04495795442
