iter	locus	logLik
27	9	-5.05844
28	0	-4.13398
28	1	-5.54763
28	2	-5.48994
28	3	-6.10447
28	4	-1.64437
28	5	-7.70142
28	6	-3.87051
28	7	-5.98377
28	8	-4.8398
28	9	-6.7806
29	0	-4.40791
29	1	-6.64888
29	2	-6.30074
29	3	-5.74059
29	4	-2.67342
29	5	-6.44632
29	6	-4.26554
29	7	-4.90621
29	8	-3.83257
29	9	-6.48291
30	0	-4.35596
30	1	-5.3554
30	2	-7.1058
30	3	-5.75032
30	4	-2.29608
30	5	-12.1248
30	6	-4.58088
30	7	-6.02608
30	8	-3.6175
30	9	-5.2957
31	0	-6.52574
31	1	-4.43059
31	2	-7.58112
31	3	-5.85597
31	4	-3.33846
31	5	-9.15036
31	6	-3.34842
31	7	-5.69322
31	8	-3.6175
31	9	-4.51823
32	0	-7.93218
32	1	-4.10324
32	2	-8.90983
32	3	-5.91695
32	4	-3.79168
32	5	-6.709
32	6	-3.61895
32	7	-13.9719
32	8	-5.14391
32	9	-6.86146
33	0	-7.93218
33	1	-4.98287
33	2	-8.11639
33	3	-5.9347
33	4	-6.54177
33	5	-6.23627
33	6	-3.46693
33	7	-13.7069
33	8	-4.39664
33	9	-4.74483
34	0	-8.26119
34	1	-4.45154
34	2	-7.98361
34	3	-6.79673
34	4	-5.98299
34	5	-6.38562
34	6	-2.51219
34	7	-9.21921
34	8	-3.47502
34	9	-8.53588
35	0	-8.07383
35	1	-4.15778
35	2	-5.9892
35	3	-9.15537
35	4	-5.86746
35	5	-6.52002
35	6	-2.71142
35	7	-8.10782
35	8	-3.59318
35	9	-5.02743
36	0	-5.77854
36	1	-4.44068
36	2	-6.57693
36	3	-7.23888
36	4	-2.21884
36	5	-6.68301
36	6	-2.78468
36	7	-5.73998
36	8	-4.24237
36	9	-5.28934
37	0	-6.26789
37	1	-4.92723
37	2	-5.52608
37	3	-7.60902
37	4	-2.6361
37	5	-9.2242
37	6	-5.34901
37	7	-6.00828
37	8	-4.58063
37	9	-3.98083
38	0	-5.40076
38	1	-5.79109
38	2	-5.799
38	3	-8.85375
38	4	-2.34199
38	5	-8.39114
38	6	-3.30125
38	7	-4.76428
38	8	-2.26329
38	9	-3.97779
39	0	-4.7484
39	1	-5.90915
39	2	-4.42452
39	3	-6.17067
39	4	-3.08922
39	5	-7.92721
39	6	-3.22023
39	7	-2.5914
39	8	-2.27049
39	9	-4.12962
40	0	-7.05418
40	1	-5.15479
40	2	-7.2486
40	3	-5.84449
40	4	-4.04514
40	5	-7.30225
40	6	-3.22023
40	7	-3.7024
40	8	-3.3377
40	9	-7.86282
41	0	-7.06911
41	1	-3.56736
41	2	-10.0716
41	3	-5.77517
41	4	-3.52633
41	5	-6.60322
41	6	-3.57885
41	7	-2.61593
41	8	-5.66475
41	9	-6.02902
42	0	-5.30464
42	1	-3.57222
42	2	-8.2355
42	3	-5.79859
42	4	-2.76168
42	5	-6.00062
42	6	-2.73929
42	7	-4.069
42	8	-3.47126
42	9	-8.00029
43	0	-5.02337
43	1	-3.70433
43	2	-4.88546
43	3	-6.12246
43	4	-4.46665
43	5	-6.49727
43	6	-5.50069
43	7	-5.85072
43	8	-2.29192
43	9	-6.34795
44	0	-4.88979
44	1	-3.84316
44	2	-6.65126
44	3	-6.60973
44	4	-3.97317
44	5	-6.79422
44	6	-4.68744
44	7	-3.73492
44	8	-1.64881
44	9	-5.73298
45	0	-4.3721
45	1	-3.8029
45	2	-10.8184
45	3	-8.69167
45	4	-4.07538
45	5	-8.07118
45	6	-3.95705
45	7	-3.48712
45	8	-1.35784
45	9	-5.73298
46	0	-4.91468
46	1	-5.58724
46	2	-6.10116
46	3	-6.87834
46	4	-4.00291
46	5	-6.84467
46	6	-5.15206
46	7	-7.83703
46	8	-1.87219
46	9	-4.99687
47	0	-4.94242
47	1	-6.09461
47	2	-4.58637
47	3	-7.15122
47	4	-2.97432
47	5	-6.64819
47	6	-5.47123
47	7	-2.82785
47	8	-3.87982
47	9	-6.34454
48	0	-3.77926
48	1	-4.87249
48	2	-6.16826
48	3	-6.40497
48	4	-2.10115
48	5	-6.9113
48	6	-2.05397
48	7	-4.79245
48	8	-5.12754
48	9	-6.52034
49	0	-6.91402
49	1	-8.50831
49	2	-5.69547
49	3	-5.76664
49	4	-1.98546
49	5	-6.95127
49	6	-2.83066
49	7	-6.85092
49	8	-4.41404
49	9	-4.56932
50	0	-3.76701
50	1	-6.15624
50	2	-3.75019
50	3	-7.31206
50	4	-1.45591
50	5	-7.26531
50	6	-3.77353
50	7	-3.90811
50	8	-3.49861
50	9	-5.35951
51	0	-3.76497
51	1	-7.51904
51	2	-4.06605
51	3	-5.34933
51	4	-1.59561
51	5	-7.13333
51	6	-2.82011
51	7	-10.1211
51	8	-2.12556
51	9	-4.35869
52	0	-4.13806
52	1	-6.78224
52	2	-4.33241
52	3	-5.7437
52	4	-4.06583
52	5	-9.94822
52	6	-3.41784
52	7	-9.74014
52	8	-4.36785
52	9	-4.61453
53	0	-4.2321
53	1	-3.68617
53	2	-5.32973
53	3	-6.38038
53	4	-4.79237
53	5	-10.2731
53	6	-3.01068
53	7	-8.68573
53	8	-7.5705
53	9	-5.86934
54	0	-5.023
54	1	-3.65214
54	2	-4.01633
54	3	-7.47359
54	4	-3.14
54	5	-7.23801
54	6	-3.09644
54	7	-5.5574
54	8	-7.54431
54	9	-4.96378
55	0	-4.48367
55	1	-4.31662
55	2	-4.87323
55	3	-5.82642
55	4	-4.72967
55	5	-6.48863
55	6	-4.27841
55	7	-6.09825
55	8	-7.50324
55	9	-4.39112
56	0	-4.48714
56	1	-6.5408
56	2	-5.60442
56	3	-5.82642
56	4	-5.34668
56	5	-9.62546
56	6	-4.56177
56	7	-3.38745
56	8	-2.84984
56	9	-5.22003
57	0	-7.06526
57	1	-4.12587
57	2	-4.4574
57	3	-7.06544
57	4	-3.80481
57	5	-10.4852
57	6	-5.08412
57	7	-2.93825
57	8	-1.6331
57	9	-4.92147
58	0	-5.51741
58	1	-4.69839
58	2	-4.65916
58	3	-7.14225
58	4	-5.54449
58	5	-10.7622
58	6	-6.21793
58	7	-3.07775
58	8	-2.62349
58	9	-4.61671
59	0	-4.9548
59	1	-4.15386
59	2	-6.16104
59	3	-6.09682
59	4	-4.18751
59	5	-12.3688
59	6	-5.47368
59	7	-3.02559
59	8	-2.18756
59	9	-4.83493
60	0	-5.0532
60	1	-3.85151
60	2	-5.51023
60	3	-6.18976
60	4	-5.12295
60	5	-7.24366
60	6	-2.58041
60	7	-4.58747
60	8	-2.83132
60	9	-5.30711
61	0	-4.58291
61	1	-5.29227
61	2	-6.19298
61	3	-5.79156
61	4	-5.59836
61	5	-7.96795
61	6	-3.25207
61	7	-5.04646
61	8	-1.08909
61	9	-5.95389
62	0	-4.48249
62	1	-5.31687
62	2	-5.10312
62	3	-5.7476
62	4	-5.07483
62	5	-7.44884
62	6	-4.57806
62	7	-4.77496
62	8	-3.05277
62	9	-5.88468
63	0	-4.50657
63	1	-4.81049
63	2	-4.98039
63	3	-6.27327
63	4	-3.08971
63	5	-7.32745
63	6	-3.05551
63	7	-7.84928
63	8	-2.66246
63	9	-5.40023
64	0	-4.70247
64	1	-5.22164
64	2	-9.19067
64	3	-6.00218
64	4	-3.07712
64	5	-6.42246
64	6	-3.05551
64	7	-8.58244
64	8	-2.70136
64	9	-5.41808
65	0	-5.33607
65	1	-6.55368
65	2	-5.84564
65	3	-6.74634
65	4	-4.35823
65	5	-7.02381
65	6	-5.53626
65	7	-3.98397
65	8	-1.64106
65	9	-4.69929
66	0	-5.4196
66	1	-6.2909
66	2	-5.85098
66	3	-6.7184
66	4	-4.7243
66	5	-6.95819
66	6	-4.43603
66	7	-4.49697
66	8	-3.25401
66	9	-4.0536
67	0	-4.33381
67	1	-5.76931
67	2	-4.85621
67	3	-5.96365
67	4	-3.91404
67	5	-8.14256
67	6	-4.37178
67	7	-4.668
67	8	-3.18275
67	9	-3.62269
68	0	-6.30741
68	1	-6.50944
68	2	-4.9577
68	3	-6.93612
68	4	-6.92752
68	5	-6.6469
68	6	-5.75192
68	7	-4.48627
68	8	-7.04062
68	9	-5.79736
69	0	-6.42339
69	1	-4.75471
69	2	-4.19165
69	3	-5.54782
69	4	-7.07359
69	5	-7.14198
69	6	-5.49893
69	7	-4.65754
69	8	-5.7647
69	9	-4.03248
70	0	-4.89238
70	1	-6.39317
70	2	-4.5988
70	3	-5.54593
70	4	-6.03334
70	5	-6.97534
70	6	-5.56561
70	7	-4.62097
70	8	-4.87725
70	9	-4.55022
71	0	-5.33478
71	1	-8.42734
71	2	-4.47936
71	3	-6.59359
71	4	-6.29162
71	5	-7.25547
71	6	-4.00757
71	7	-7.0078
71	8	-4.83624
71	9	-4.51086
72	0	-4.78065
72	1	-10.6887
72	2	-5.05789
72	3	-5.50519
72	4	-4.3552
72	5	-6.97084
72	6	-3.47663
72	7	-4.18043
72	8	-3.82841
72	9	-4.76248
73	0	-5.01684
73	1	-9.76047
73	2	-4.85283
73	3	-5.84542
73	4	-3.71099
73	5	-6.61805
73	6	-3.13041
73	7	-2.70476
73	8	-5.06503
73	9	-5.47675
74	0	-4.68566
74	1	-5.06252
74	2	-5.04963
74	3	-6.01726
74	4	-2.15306
74	5	-6.74842
74	6	-3.0989
74	7	-3.88475
74	8	-6.18414
74	9	-4.5545
75	0	-7.23291
75	1	-6.62027
75	2	-4.4853
75	3	-6.79865
75	4	-2.61042
75	5	-7.01203
75	6	-2.83445
75	7	-5.67471
75	8	-4.2518
75	9	-6.79071
76	0	-5.99339
76	1	-6.08752
76	2	-6.94485
76	3	-10.0871
76	4	-2.74574
76	5	-8.14266
76	6	-4.62516
76	7	-3.88577
76	8	-4.77079
76	9	-7.62204
77	0	-4.86342
77	1	-8.0046
77	2	-6.01242
77	3	-7.3012
77	4	-4.60714
77	5	-7.34269
77	6	-2.42287
77	7	-3.81078
77	8	-3.92071
77	9	-5.67129
78	0	-5.95705
78	1	-5.01991
78	2	-8.89499
78	3	-10.8274
78	4	-3.67913
78	5	-7.28285
78	6	-1.84283
78	7	-7.26951
78	8	-2.96551
78	9	-5.67115
79	0	-4.30641
79	1	-5.82183
79	2	-7.64304
79	3	-11.1523
79	4	-1.72672
79	5	-6.99097
79	6	-1.86461
79	7	-2.68796
79	8	-3.21066
79	9	-7.05417
80	0	-4.99626
80	1	-5.8386
80	2	-5.99744
80	3	-7.77855
80	4	-2.35036
80	5	-8.41999
80	6	-2.5206
80	7	-3.4866
80	8	-3.83389
80	9	-7.33517
81	0	-5.06712
81	1	-5.16384
81	2	-5.77428
81	3	-7.90616
81	4	-3.19438
81	5	-6.323
81	6	-5.67256
81	7	-1.9568
81	8	-4.70515
81	9	-5.26916
82	0	-5.9536
82	1	-7.22479
82	2	-4.12433
82	3	-8.34211
82	4	-3.44272
82	5	-6.46271
82	6	-6.42513
82	7	-5.80196
82	8	-4.08708
82	9	-3.59507
83	0	-6.08561
83	1	-4.22159
83	2	-3.87755
83	3	-5.93762
83	4	-6.76091
83	5	-8.36922
83	6	-5.44763
83	7	-5.80196
83	8	-4.98064
83	9	-4.49872
84	0	-5.972
84	1	-3.7401
84	2	-5.26349
84	3	-6.03806
84	4	-6.23202
84	5	-7.75468
84	6	-5.9315
84	7	-5.66177
84	8	-5.41621
84	9	-5.65586
85	0	-7.09135
85	1	-3.64712
85	2	-5.76229
85	3	-5.91176
85	4	-5.53289
85	5	-6.40084
85	6	-5.82428
85	7	-4.26014
85	8	-2.76495
85	9	-4.95679
86	0	-4.60386
86	1	-4.20118
86	2	-5.08523
86	3	-9.04079
86	4	-4.99344
86	5	-7.36918
86	6	-2.23601
86	7	-2.80953
86	8	-5.55058
86	9	-5.21222
87	0	-4.39613
87	1	-3.65998
87	2	-5.53104
87	3	-13.4089
87	4	-2.80005
87	5	-8.63417
87	6	-2.48643
87	7	-4.36278
87	8	-4.33677
87	9	-4.69173
88	0	-4.53529
88	1	-4.48547
88	2	-4.19061
88	3	-13.8745
88	4	-1.61791
88	5	-6.47225
88	6	-2.39376
88	7	-5.55225
88	8	-3.14759
88	9	-6.33798
89	0	-9.72846
89	1	-4.55195
89	2	-4.00643
89	3	-6.3038
89	4	-1.9401
89	5	-7.69551
89	6	-3.06522
89	7	-5.06839
89	8	-2.02826
89	9	-5.89737
90	0	-4.94742
90	1	-4.13935
90	2	-4.40017
90	3	-6.10818
90	4	-2.71336
90	5	-6.2081
90	6	-3.81082
90	7	-3.64822
90	8	-3.43911
90	9	-5.02993
91	0	-6.65678
91	1	-5.35711
91	2	-4.58594
91	3	-6.57693
91	4	-2.04294
91	5	-7.97001
91	6	-6.37876
91	7	-7.47361
91	8	-5.64944
91	9	-6.01379
92	0	-8.5498
92	1	-5.72114
92	2	-4.3361
92	3	-6.22144
92	4	-1.92527
92	5	-8.26452
92	6	-4.35603
92	7	-8.44672
92	8	-4.85936
92	9	-3.54119
93	0	-7.4344
93	1	-5.44174
93	2	-5.17564
93	3	-7.3215
93	4	-4.68612
93	5	-6.5015
93	6	-3.93775
93	7	-7.03488
93	8	-4.41077
93	9	-3.35482
94	0	-6.34345
94	1	-7.57942
94	2	-4.80518
94	3	-6.08467
94	4	-5.41082
94	5	-6.97149
94	6	-6.38918
94	7	-3.29235
94	8	-3.68589
94	9	-4.15494
95	0	-5.16409
95	1	-7.51935
95	2	-5.4162
95	3	-5.95879
95	4	-5.43777
95	5	-7.89187
95	6	-8.92257
95	7	-2.90957
95	8	-4.66074
95	9	-4.73378
96	0	-6.20482
96	1	-7.66113
96	2	-5.12742
96	3	-6.07859
96	4	-8.39012
96	5	-6.14579
96	6	-3.85443
96	7	-5.15589
96	8	-4.46945
96	9	-5.71455
97	0	-5.14212
97	1	-7.7964
97	2	-4.09098
97	3	-6.2078
97	4	-8.12084
97	5	-6.23541
97	6	-3.49595
97	7	-3.34459
97	8	-4.72957
97	9	-5.81064
98	0	-4.92947
98	1	-5.33032
98	2	-3.91554
98	3	-6.57697
98	4	-7.00844
98	5	-6.21679
98	6	-6.50057
98	7	-4.21909
98	8	-2.6862
98	9	-5.95038
99	0	-5.15595
99	1	-4.11743
99	2	-3.94121
99	3	-5.89733
99	4	-6.31322
99	5	-7.83635
99	6	-4.44552
99	7	-3.41495
99	8	-2.75746
99	9	-5.92087
