iter	locus	tip0	tip1	tip2	tip3
46	0	3	4	1	2
46	1	2	4	1	3
46	2	1	2	3	4
46	3	3	4	1	2
46	4	2	4	1	3
46	5	3	4	1	2
46	6	1	2	3	4
46	7	1	2	3	4
46	8	3	4	1	2
46	9	3	4	1	2
47	0	3	4	1	2
47	1	2	1	3	4
47	2	1	2	3	4
47	3	3	4	1	2
47	4	2	4	1	3
47	5	3	4	1	2
47	6	1	2	3	4
47	7	1	2	3	4
47	8	3	4	1	2
47	9	3	4	1	2
48	0	3	4	1	2
48	1	2	4	1	3
48	2	1	2	3	4
48	3	3	4	1	2
48	4	2	4	1	3
48	5	3	4	1	2
48	6	3	4	1	2
48	7	1	2	3	4
48	8	3	4	1	2
48	9	3	4	1	2
49	0	3	4	1	2
49	1	2	4	1	3
49	2	1	2	3	4
49	3	3	4	1	2
49	4	2	4	1	3
49	5	3	4	1	2
49	6	3	4	1	2
49	7	1	2	3	4
49	8	3	4	1	2
49	9	1	2	3	4
50	0	3	4	1	2
50	1	2	1	3	4
50	2	1	2	3	4
50	3	1	2	3	4
50	4	2	4	1	3
50	5	1	2	3	4
50	6	1	2	3	4
50	7	1	2	3	4
50	8	1	2	3	4
50	9	3	4	1	2
51	0	3	4	1	2
51	1	2	3	1	4
51	2	1	2	3	4
51	3	3	4	1	2
51	4	2	3	1	4
51	5	1	2	3	4
51	6	1	2	3	4
51	7	3	4	1	2
51	8	1	2	3	4
51	9	3	4	1	2
52	0	3	4	1	2
52	1	2	3	1	4
52	2	1	2	3	4
52	3	3	4	1	2
52	4	1	3	2	4
52	5	1	2	3	4
52	6	3	4	1	2
52	7	1	2	3	4
52	8	1	2	3	4
52	9	3	4	1	2
53	0	3	4	1	2
53	1	2	4	1	3
53	2	1	2	3	4
53	3	3	4	1	2
53	4	2	3	1	4
53	5	1	2	3	4
53	6	1	2	3	4
53	7	3	4	1	2
53	8	1	2	3	4
53	9	1	2	3	4
54	0	3	4	1	2
54	1	2	4	1	3
54	2	1	2	3	4
54	3	3	4	1	2
54	4	2	3	1	4
54	5	3	4	1	2
54	6	1	2	3	4
54	7	3	4	1	2
54	8	1	2	3	4
54	9	3	4	1	2
55	0	3	4	1	2
55	1	2	4	1	3
55	2	1	2	3	4
55	3	3	4	1	2
55	4	1	4	2	3
55	5	3	4	1	2
55	6	1	2	3	4
